scene_id,group,frames,occ_median,v_median,delay_median,jam_share,slow_share,level_median,detour_check,lane_occ_spread_median
Busan_busanportbrdg3_20201027_1300_TUE_8m_NH_highway_TW3_sunny_FHD,toward,97,0.0424,92.9,0.046,0.0,0.0,원활,False,0.0456
Busan_busanportbrdg3_20201028_1100_TUE_8m_NH_highway_TW3_sunny_FHD,all,98,0.0428,92.9,0.046,0.0,0.0,원활,False,
Busan_busanportbrdg3_20201028_1100_TUE_8m_NH_highway_TW3_sunny_FHD,away,98,0.0406,93.2,0.044,0.0,0.0,원활,False,0.056
Busan_busanportbrdg3_20201028_1100_TUE_8m_NH_highway_TW3_sunny_FHD,toward,98,0.0416,93.05,0.0445,0.0,0.0,원활,False,0.0574
Busan_busanportbrdg3_20201028_1600_TUE_8m_NH_highway_TW3_sunny_FHD,all,96,0.0401,93.3,0.043,0.0,0.0,원활,False,
Busan_busanportbrdg3_20201028_1600_TUE_8m_NH_highway_TW3_sunny_FHD,away,96,0.0295,95.1,0.031,0.0,0.0,원활,False,0.0329
Busan_busanportbrdg3_20201028_1600_TUE_8m_NH_highway_TW3_sunny_FHD,toward,96,0.0611,89.85,0.0675,0.0,0.0,원활,False,0.062
Busan_busanportbrdg3_20201029_1330_THU_8m_NH_highway_TW3_sunny_FHD,all,124,0.0407,93.2,0.044,0.0,0.0,원활,False,
Busan_busanportbrdg3_20201029_1330_THU_8m_NH_highway_TW3_sunny_FHD,away,124,0.0385,93.6,0.041,0.0,0.0,원활,False,0.0371
Busan_busanportbrdg3_20201029_1330_THU_8m_NH_highway_TW3_sunny_FHD,toward,124,0.0471,92.15,0.051,0.0,0.0,원활,False,0.0609
Busan_busanportbrdg3_20201119_1030_THU_8m_NH_highway_TW3_rainy_FHD,all,95,0.0402,93.3,0.043,0.0,0.0,원활,False,
Busan_busanportbrdg3_20201119_1030_THU_8m_NH_highway_TW3_rainy_FHD,away,95,0.0432,92.8,0.047,0.0,0.0,원활,False,0.0527
Busan_busanportbrdg3_20201119_1030_THU_8m_NH_highway_TW3_rainy_FHD,toward,95,0.0326,94.6,0.034,0.0,0.0,원활,False,0.0424
Busan_busanportbrdg4_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,all,93,0.0345,94.2,0.037,0.0,0.0,원활,False,
Busan_busanportbrdg4_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,away,93,0.0238,96.0,0.025,0.0,0.0,원활,False,0.0434
Busan_busanportbrdg4_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,toward,93,0.0606,89.9,0.067,0.0,0.0,원활,False,0.0367
Busan_busanportbrdg4_20201028_1300_TUE_8m_NH_highway_TW3_sunny_FHD,all,102,0.0278,95.4,0.029,0.0,0.0,원활,False,
Busan_busanportbrdg4_20201028_1300_TUE_8m_NH_highway_TW3_sunny_FHD,away,102,0.0252,95.8,0.026,0.0,0.0,원활,False,0.046
Busan_busanportbrdg4_20201028_1300_TUE_8m_NH_highway_TW3_sunny_FHD,toward,102,0.0315,94.75,0.0335,0.0,0.0,원활,False,0.0237
Busan_busanportbrdg4_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,all,93,0.0506,91.6,0.055,0.0,0.0,원활,False,
Busan_busanportbrdg4_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,away,93,0.048,92.0,0.052,0.0,0.0,원활,False,0.0854
Busan_busanportbrdg4_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,toward,93,0.0496,91.7,0.054,0.0,0.0,원활,False,0.018
Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,all,99,0.0317,94.7,0.034,0.0,0.0,원활,False,
